name,firstName,lastName,playerId,height,weight,age,isManOfTheMatch,isActive,isOpta,playedPositions,positionText,playedPositionsShort,teamId,teamName,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,rating,ranking,apps,subOn,minsPlayed,manOfTheMatch,yellowCard,redCard,goal,assistTotal,shotsPerGame,aerialWonPerGame,passSuccess
Giacomo Bonaventura,Giacomo,Bonaventura,40384,181,75,27,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),80,AC Milan,6461,2016/2017,5,108,it,it,Serie A,ISA,7.502105263157894,35,19,0,1574,1,3.0,0.0,3,2,2.473684210526316,0.5263157894736842,85.3099730458221
Miralem Pjanic,Miralem,Pjanic,30226,180,70,26,false,true,true,-MC-,Midfielder,M(C),87,Juventus,6461,2016/2017,5,108,it,ba,Serie A,ISA,7.495789473684211,36,19,3,1361,2,3.0,0.0,5,5,1.9473684210526316,0.7894736842105263,86.92468619246861
Nicolás Otamendi,Nicolás,Otamendi,75691,183,81,29,false,true,true,-DC-,Defender,D(C),167,Manchester City,6335,2016/2017,2,252,gb-eng,ar,Premier League,EPL,7.4925000000000015,37,20,1,1692,2,8.0,0.0,0,1,0.35,4.25,86.86192468619247
Andy Carroll,Andy,Carroll,23383,193,79,28,false,true,true,-FW-,Forward,FW,29,West Ham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.492500000000001,38,12,3,800,2,2.0,0.0,6,0,2.1666666666666665,9.166666666666666,56.25
Hakan Calhanoglu,Hakan,Calhanoglu,110373,178,76,23,false,true,true,-FW-MC-ML-MR-,Midfielder,"M(CLR),FW",36,Bayer Leverkusen,6392,2016/2017,3,81,de,tr,Bundesliga,GB,7.492,39,15,1,1217,3,1.0,0.0,6,5,3.1333333333333333,1.6666666666666667,77.59067357512953
Naby Keita,Naby,Keita,243510,172,64,22,false,true,true,-MC-,Midfielder,M(C),7614,RasenBallsport Leipzig,6392,2016/2017,3,81,de,gn,Bundesliga,GB,7.491578947368422,40,19,2,1393,1,3.0,0.0,4,5,1.368421052631579,0.47368421052631576,79.46859903381642
Romelu Lukaku,Romelu,Lukaku,78498,190,94,23,false,true,true,-FW-,Forward,FW,31,Everton,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.482083333333332,41,24,1,2097,4,3.0,0.0,16,4,2.625,3.625,64.64
Thomas Meunier,Thomas,Meunier,104376,190,82,25,false,true,true,-DR-,Defender,D(R),304,Paris Saint Germain,6318,2016/2017,22,74,fr,be,Ligue 1,FL1,7.472,42,15,3,1116,1,1.0,0.0,1,2,0.7333333333333333,1.7333333333333334,85.77712609970675
Óscar Trejo,Óscar,Trejo,16942,180,79,28,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),246,Toulouse,6318,2016/2017,22,74,fr,ar,Ligue 1,FL1,7.461176470588235,43,17,1,1357,4,2.0,0.0,2,5,1.0588235294117647,0.8235294117647058,74.47988904299584
Kevin De Bruyne,Kevin,De Bruyne,73084,181,68,25,false,true,true,-AMC-AML-AMR-FW-,Midfielder,"AM(CLR),FW",167,Manchester City,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.453749999999999,44,24,2,1902,3,4.0,0.0,4,9,2.7083333333333335,0.375,81.76318063958513
Thomas Lemar,Thomas,Lemar,132962,170,58,21,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),248,Monaco,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.453636363636362,45,22,4,1709,3,0.0,0.0,7,6,1.6818181818181819,0.22727272727272727,83.27316486161251
Philippe Coutinho,Philippe,Coutinho,80767,171,71,24,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),26,Liverpool,6335,2016/2017,2,252,gb-eng,br,Premier League,EPL,7.451666666666666,46,18,2,1295,4,2.0,0.0,5,5,3.2222222222222223,0.2222222222222222,83.0166270783848
Fernando Marçal,Fernando,Marçal,121718,178,72,28,false,true,true,-DL-,Defender,D(L),426,Guingamp,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.448636363636364,47,22,0,1879,3,3.0,1.0,0,6,0.45454545454545453,1.7272727272727273,78.36691410392365
Frederik Sörensen,Frederik,Sörensen,93459,194,88,24,false,true,true,-DC-DR-,Defender,D(CR),282,FC Cologne,6392,2016/2017,3,81,de,dk,Bundesliga,GB,7.446666666666666,48,21,0,1890,2,5.0,0.0,0,2,0.6666666666666666,2.6666666666666665,71.53846153846153
Fabinho,Fabio Henrique,Tavares,115916,188,78,23,false,true,true,-DMC-DR-,Midfielder,"D(R),DMC",248,Monaco,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.444399999999999,49,25,4,1991,1,5.0,0.0,5,1,0.8,1.16,85.1492537313433
Marco Verratti,Marco,Verratti,91961,165,60,24,false,true,true,-DMC-,Midfielder,DMC,304,Paris Saint Germain,6318,2016/2017,22,74,fr,it,Ligue 1,FL1,7.439444444444446,50,18,3,1279,2,4.0,0.0,2,3,0.2777777777777778,0.1111111111111111,87.99472295514512
Ander Herrera,Ander,Herrera,71174,182,70,27,false,true,true,-MC-,Midfielder,M(C),32,Manchester United,6335,2016/2017,2,252,gb-eng,es,Premier League,EPL,7.4381818181818184,51,22,2,1819,4,4.0,1.0,0,3,1.3636363636363635,1.0454545454545454,88.12423873325214
Emerson,Emerson,Palmieri dos Santos,101955,176,63,22,false,true,true,-DL-ML-,Defender,"D(L),M(L)",84,Roma,6461,2016/2017,5,108,it,br,Serie A,ISA,7.433333333333333,52,18,2,1418,0,1.0,0.0,0,1,0.5555555555555556,1.2777777777777777,87.01986754966887
Sead Kolasinac,Sead,Kolasinac,110260,183,85,23,false,true,true,-DL-ML-,Defender,"D(L),M(L)",39,Schalke 04,6392,2016/2017,3,81,de,ba,Bundesliga,GB,7.431764705882353,53,17,1,1405,1,4.0,0.0,2,4,0.7647058823529411,2.2941176470588234,70.15384615384616
Benjamin Hübner,Benjamin,Hübner,133346,193,85,27,false,true,true,-DC-,Defender,D(C),1211,Hoffenheim,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.430666666666667,54,15,0,1291,1,5.0,0.0,0,2,0.3333333333333333,2.533333333333333,85.92848904267589
Marcos Alonso,Marcos,Alonso,84008,188,81,26,false,true,true,-DC-DL-ML-,Defender,"D(CL),M(L)",15,Chelsea,6335,2016/2017,2,252,gb-eng,es,Premier League,EPL,7.427,55,20,1,1720,1,2.0,0.0,4,2,1.45,2.4,76.11044417767107
Virgil van Dijk,Virgil,van Dijk,95408,193,92,25,false,true,true,-DC-,Defender,D(C),18,Southampton,6335,2016/2017,2,252,gb-eng,nl,Premier League,EPL,7.423809523809524,56,21,0,1854,3,3.0,1.0,1,0,0.8095238095238095,4.666666666666667,84.18367346938776
Lorenzo Insigne,Lorenzo,Insigne,83390,163,59,25,false,true,true,-AMC-AML-FW-,Forward,"AM(CL),FW",276,Napoli,6461,2016/2017,5,108,it,it,Serie A,ISA,7.423750000000002,57,24,2,1818,4,1.0,0.0,8,6,3.7916666666666665,0.0,86.3536316947909
Tiemoué Bakayoko,Tiemoué,Bakayoko,135211,184,72,22,false,true,true,-DMC-,Midfielder,DMC,248,Monaco,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.419090909090908,58,22,3,1663,1,2.0,1.0,2,1,0.9090909090909091,2.1818181818181817,87.84425451092119
Danny Rose,Danny,Rose,24711,173,72,26,false,true,true,-DL-ML-,Defender,"D(L),M(L)",30,Tottenham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.418333333333333,59,18,0,1533,1,8.0,0.0,2,2,1.2777777777777777,1.5,77.2669220945083
Wilfried Zaha,Wilfried,Zaha,85059,180,66,24,false,true,true,-AML-AMR-,Midfielder,AM(LR),162,Crystal Palace,6335,2016/2017,2,252,gb-eng,ci,Premier League,EPL,7.408636363636364,60,22,1,1892,3,6.0,0.0,4,6,1.3181818181818181,0.36363636363636365,80.04640371229699
Marek Hamsik,Marek,Hamsik,13475,183,79,29,false,true,true,-AMC-,Midfielder,AM(C),276,Napoli,6461,2016/2017,5,108,it,sk,Serie A,ISA,7.4075999999999995,61,25,1,2051,3,1.0,0.0,10,7,2.28,0.68,88.82874015748031
Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,44120,187,80,27,false,true,true,-FW-ML-MR-,Forward,"M(LR),FW",44,Borussia Dortmund,6392,2016/2017,3,81,de,ga,Bundesliga,GB,7.4068421052631574,62,19,0,1687,3,2.0,0.0,17,1,3.526315789473684,1.0,73.78048780487805
Sergej Milinkovic-Savic,Sergej,Milinkovic-Savic,288767,191,76,21,false,true,true,-AMC-,Midfielder,AM(C),77,Lazio,6461,2016/2017,5,108,it,rs,Serie A,ISA,7.403043478260868,63,23,2,1858,2,4.0,0.0,4,3,2.0869565217391304,4.782608695652174,71.49220489977728
Ousmane Dembélé,Ousmane,Dembélé,299513,178,67,19,false,true,true,-AMC-AML-AMR-,Forward,AM(CLR),44,Borussia Dortmund,6392,2016/2017,3,81,de,fr,Bundesliga,GB,7.400999999999999,64,20,7,1224,2,4.0,0.0,5,8,1.35,0.15,64.58333333333334
Luka Modric,Luka,Modric,20874,174,65,31,false,true,true,-MC-,Midfielder,M(C),52,Real Madrid,6436,2016/2017,4,206,es,hr,La Liga,SLL,7.393076923076924,65,13,1,1034,2,1.0,0.0,1,2,0.9230769230769231,0.3076923076923077,89.37007874015748
Arjen Robben,Arjen,Robben,4173,180,80,33,false,true,true,-FW-MC-ML-MR-,Midfielder,"M(CLR),FW",37,Bayern Munich,6392,2016/2017,3,81,de,nl,Bundesliga,GB,7.390666666666667,66,15,3,966,1,0.0,0.0,7,3,2.466666666666667,0.3333333333333333,78.99159663865547
Laurent Koscielny,Laurent,Koscielny,30051,186,75,31,false,true,true,-DC-,Defender,D(C),13,Arsenal,6335,2016/2017,2,252,gb-eng,fr,Premier League,EPL,7.389166666666667,67,24,0,2134,0,3.0,0.0,2,0,0.3333333333333333,3.6666666666666665,87.74193548387098
Lucas Moura,Lucas,Rodrigues Moura da Silva,92508,172,72,24,false,true,true,-AMC-AML-AMR-,Forward,AM(CLR),304,Paris Saint Germain,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.3888461538461545,68,26,3,1933,2,0.0,0.0,8,3,1.9230769230769231,0.6923076923076923,82.22442899702085
Marcelo Brozovic,Marcelo,Brozovic,87449,180,65,24,false,true,true,-MC-MR-,Midfielder,M(CR),75,Inter,6461,2016/2017,5,108,it,hr,Serie A,ISA,7.384000000000001,69,15,1,1205,1,5.0,0.0,3,2,1.8,0.6666666666666666,83.67924528301887
Frederic Guilbert,Frederic,Guilbert,260493,178,70,22,false,true,true,-DC-DR-,Defender,D(CR),347,Caen,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.374,70,15,0,1328,1,2.0,0.0,0,1,0.8666666666666667,2.8,70.61503416856492
Christian Eriksen,Christian,Eriksen,69344,175,71,25,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),30,Tottenham,6335,2016/2017,2,252,gb-eng,dk,Premier League,EPL,7.369583333333332,71,24,0,2097,3,0.0,0.0,5,8,3.75,0.6666666666666666,79.90726429675425
Bruno Soriano,Bruno,Soriano,14231,184,73,32,false,true,true,-MC-,Midfielder,M(C),839,Villarreal,6436,2016/2017,4,206,es,es,La Liga,SLL,7.36761904761905,72,21,0,1882,0,4.0,0.0,5,1,0.6190476190476191,1.2380952380952381,90.05275056518462
Kyle Walker,Kyle,Walker,69778,178,70,26,false,true,true,-DR-MR-,Defender,"D(R),M(R)",30,Tottenham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.367083333333333,73,24,0,2087,2,5.0,0.0,0,5,0.5,2.0833333333333335,79.35258092738408
Thiago Silva,Thiago Emiliano,da Silva,28550,183,79,32,false,true,true,-DC-,Defender,D(C),304,Paris Saint Germain,6318,2016/2017,22,74,fr,br,Ligue 1,FL1,7.366842105263157,74,19,0,1710,2,1.0,0.0,3,0,0.6842105263157895,2.210526315789474,93.53169469598966
Anthony Modeste,Anthony,Modeste,25605,187,84,28,false,true,true,-FW-,Forward,FW,282,FC Cologne,6392,2016/2017,3,81,de,fr,Bundesliga,GB,7.366190476190476,75,21,0,1808,4,3.0,0.0,17,1,3.2857142857142856,4.238095238095238,63.20987654320987
Raffael,Raffael,Caetano de Araújo,14958,174,69,31,false,true,true,-AMC-AML-FW-,Forward,"AM(CL),FW",134,Borussia M.Gladbach,6392,2016/2017,3,81,de,br,Bundesliga,GB,7.361538461538462,76,13,0,1068,1,1.0,0.0,5,0,2.3076923076923075,0.5384615384615384,76.17977528089888
Michail Antonio,Michail,Antonio,69517,180,82,26,false,true,true,-DR-FW-MC-ML-MR-,Midfielder,"D(R),M(CLR),FW",29,West Ham,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.359583333333333,77,24,0,2088,3,4.0,0.0,8,3,2.625,2.2083333333333335,73.07692307692307
Benjamin Mendy,Benjamin,Mendy,105962,185,85,22,false,true,true,-DL-DMC-ML-,Defender,"D(L),DMC,M(L)",248,Monaco,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.358235294117648,78,17,0,1443,2,5.0,1.0,0,5,0.5882352941176471,1.7647058823529411,77.10843373493977
Marco Fabián,Marco,Fabián,35433,170,65,27,false,true,true,-AMC-AMR-,Midfielder,AM(CR),45,Eintracht Frankfurt,6392,2016/2017,3,81,de,mx,Bundesliga,GB,7.354615384615385,79,13,0,1170,2,6.0,0.0,3,4,3.0,0.8461538461538461,78.02690582959642
Falcao,Radamel Falcao,García Zárate,18701,177,72,31,false,true,true,-FW-,Forward,FW,248,Monaco,6318,2016/2017,22,74,fr,co,Ligue 1,FL1,7.3469999999999995,80,20,5,1298,1,2.0,0.0,16,3,2.45,1.2,77.94561933534743
Jan Vertonghen,Jan,Vertonghen,21778,189,86,29,false,true,true,-DC-DL-,Defender,D(CL),30,Tottenham,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.345999999999999,81,20,0,1774,1,5.0,0.0,0,0,0.4,3.75,84.71986417657045
Bernardo Silva,Bernardo Mota,Veiga de Carvalho e Silva,136741,173,64,22,false,true,true,-AMC-AML-AMR-,Midfielder,AM(CLR),248,Monaco,6318,2016/2017,22,74,fr,pt,Ligue 1,FL1,7.343999999999999,82,25,2,1949,3,2.0,0.0,6,5,1.68,0.44,80.29020556227327
Antoine Griezmann,Antoine,Griezmann,80241,175,72,25,false,true,true,-AMC-AML-AMR-FW-,Forward,"AM(CLR),FW",63,Atletico Madrid,6436,2016/2017,4,206,es,fr,La Liga,SLL,7.338636363636362,83,22,0,1874,2,2.0,0.0,9,6,2.4545454545454546,1.3181818181818181,77.67857142857143
Sebastian Rudy,Sebastian,Rudy,38649,180,74,26,false,true,true,-DR-MC-MR-,Midfielder,"D(R),M(CR)",1211,Hoffenheim,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.337894736842106,84,19,0,1678,2,6.0,0.0,0,4,0.9473684210526315,1.4736842105263157,78.78103837471784
Jean Michael Seri,Jean Michael,Seri,136262,168,65,25,false,true,true,-MC-,Midfielder,M(C),613,Nice,6318,2016/2017,22,74,fr,ci,Ligue 1,FL1,7.336363636363637,85,22,0,1910,1,1.0,0.0,3,9,0.8181818181818182,0.45454545454545453,89.27552766685682
Mats Hummels,Mats,Hummels,21541,191,92,28,false,true,true,-DC-,Defender,D(C),37,Bayern Munich,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.332105263157893,86,19,2,1579,1,4.0,0.0,1,1,1.2105263157894737,4.105263157894737,88.91102257636122
Ignacio Camacho,Ignacio,Camacho,35199,182,75,26,false,true,true,-MC-,Midfielder,M(C),69,Malaga,6436,2016/2017,4,206,es,es,La Liga,SLL,7.331363636363636,87,22,0,1980,2,10.0,0.0,4,2,1.0454545454545454,4.818181818181818,73.89830508474576
Mauro Icardi,Mauro,Icardi,106964,181,75,24,false,true,true,-FW-,Forward,FW,75,Inter,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.328695652173912,88,23,0,2070,6,0.0,0.0,15,8,3.5217391304347827,1.5217391304347827,73.421926910299
Phil Jones,Phil,Jones,81726,180,71,25,false,true,true,-DC-DMC-DR-,Defender,"D(CR),DMC",32,Manchester United,6335,2016/2017,2,252,gb-eng,gb-eng,Premier League,EPL,7.3275,89,12,0,1045,0,0.0,0.0,0,0,0.25,3.0,89.53271028037383
Shkodran Mustafi,Shkodran,Mustafi,80921,184,82,24,false,true,true,-DC-DR-,Defender,D(CR),13,Arsenal,6335,2016/2017,2,252,gb-eng,de,Premier League,EPL,7.322222222222225,90,18,0,1555,2,6.0,0.0,1,1,0.8333333333333334,4.0,82.84444444444445
